no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
185,맛이 상쾌하고 시원하다,맛이 산뜻하다/맛이 상큼하다,,,118,,
186,탄산이 심하게 쏘지 않으면서도 목넘김이 좋고 부드러운 반면  맛은 깊은 편이기때문에 좋다.,톡 쏘지 않아 좋다/톡 쏘는 맛이 지나치지 않다,목 넘김이 좋다 ,목 넘김이 부드럽다 ,121,173,171
187,톡 쏘는 맛이 있다,톡 쏘는 맛이 있다,,,104,,
188,맛이 독특해서,맛이 독특하다/맛이 차별화됐다,,,117,,
189,맛이 좋기 때문에,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
190,부드러운 거품과 뒷맛이 깔끔하고 씁쓸한 맛이 일품이다,거품이 부드럽다,뒷맛이 깔끔하다,맛이 쌉싸름하다,183,153,113
191,특별히 맛때문에 좋아하는것이 아니라 친숙해서 마시는 편이다.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
192,가격도 저렴하고 맛있따.,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
193,광고노출이 많아서 가장 친근하다.,광고를 많이 한다,광고가 친근하다,,302,401,
194,깔끔하고 단맛이남,맛이 깔끔하다,달콤하다/꿀맛이 난다,,102,108,
195,맥주맛이 부드럽다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
196,쌉싸름한 맛이 좋다,맛이 쌉싸름하다,,,113,,
197,맛이 부드러워서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
198,맛이 있기 때문이지요..,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
199,맛있고 가벼워서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 가볍다,,107,51,
200,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
201,요즘 cf가 재미있어서 먹어봤는데 가볍고 맛이 괜찮더라구요,광고가 재미있다,맛이 가볍다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,840,51,107
202,보리맛이 강해서,보리 맛이 진하다,,,62,,
203,부드러운 맛  엔젤링,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,엔젤링,,112,581,
204,이뻐서,디자인이 예쁘다,,,253,,
205,톡쏘는 맛...탄산이 많은 것 같다,톡 쏘는 맛이 있다,탄산이 풍부하다,,104,61,
206,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
207,깔끔하고 부드럽다 그리고 하이트에 비해 병에서 비린내(오줌냄새 비슷한)가 안난다,깔끔하다,부드럽다,맥주 따를 때 향이 없다/맥주 향이 없어 좋다/맥주의 누린내가 없다,1,14,206
208,광고가 맛을 적절하게 표현을 잘했고  맛있다,광고를 보면 마시고 싶다/광고가 맛있을 것 같이 느껴진다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,407,107,
209,맛이 깊고 풍부하다,맛이 풍부하다/맛이 깊다,,,70,,
210,목넘김이 부드러움,목 넘김이 부드럽다 ,,,171,,
211,가장 익숙해서 좋아합니다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
212,깔끔한 맛과 향이 부드러움.,맛이 깔끔하다,향이 부드럽다/향이 순하다/향이 은은하다,,102,211,
213,레몬과 함께 상큼하게 마실 수 있음,레몬을 넣어 마시면 상큼하다 ,,,191,,
214,목넘김이 젤 좋고 호프향이 제일 살아있다. 쓰지않고 부드럽다    제일 맥주같다,목 넘김이 좋다 ,맥주 특유의 향이 살아있다,쓴 맛이 덜 하다,173,209,119
215,맥주 거품이 부드러워서 마신다,거품이 부드럽다,,,183,,
216,여러 종류의 맥주를 마셔봤지만 가장 처음 접했었고 오랬동안 마셔온 맥주라서 좋아합니다. 맛도 물론 깔끔하고요.쓴 맛이 나지 않아 좋습니다.,처음 마셔본 맥주이다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 깔끔하다,631,3,102
217,다른 맥주보다 고소함,맛이 고소하다,,,116,,
218,먹었을 때 톡 쏘는 그 맛이 좋다.  그리고 목 넘김이 왠지 부드러운 것 같다.,톡 쏘는 맛이 있다,목 넘김이 부드럽다 ,,104,171,
219,상쾌하고 청량한 느낌,시원하다,,,2,,
220,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
221,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
222,신선하고  네덜란드상표여서 더 좋고  맥주의 역사와 전통이 있어서,신선하다,네덜란드의 맥주가 맛있다,전통 있다,217,470,366
223,맛있다  ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
224,같이 마시는 사람이 좋아해서 자연스럽게 마시고 있음,주변에서 추천하는 맥주다,,,179,,
225,원래부터 즐겨마시던 브랜드이다 독특한 맛과 향이 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 독특하다/맛이 차별화됐다,향이 독특하다,3,117,202
