KEY,doc,raw_doc_tu
296,톡소는 맛을 느끼게 해줘서,소 맛 느끼
297,시원한 맛,시원 맛
298_0,기네스 생맥주를 좋아하는데 기본 흑맥주를 좋아하고,기네스 맥주 좋아하 기본 흑 맥주 좋아하
298_1,생맥주의 크림과 맥주 맛을 좋아한다,맥주 크림 맥주 맛 좋아하
299_0,카스는 다른 것에 비해 맛이 고소하고,카스 것 비하 맛 고소
299_1,목넘김이 좋다,목 넘기
300,맛있습니다,맛있
302,맥스를 좋아하기 때문에,맥스 좋아하 때문
303,상쾌함,상쾌
304,맛이 좋은 맥주로 기억되기 때문,맛 맥주 기억 때문
305,친근하기때문에,친근 때문
306,상큼한맛 향,상큼 맛 향
307,맛있어서,맛있
308_0,자주먹진않지만 흑맥주를 선호하는편이고,흑 맥주 선호 편
308_1,입안에 촥감기는맛이 흑맥주에 끌리는이유라 생각합니다,입안 흑 맥주 끌리 이유 생각
309_0,시원하고,시원
309_1,끝이 깔끔한 맛이 좋다,끝 깔끔 맛
309_3,광고를 많이 해서 일단 눈이 간다,광고 눈
309_4,캔으로 먹을때는 카스를 제일 먼저 찾게된다,캔 때 카스 제일
310,친구가 한번 권유해서 마셔보았는데 100보리로만 만들어져 다른것에 비해 목넘김이 더욱 부드러웠던것같음,친구 번 권유 마시 보리 만들 것 비하 목 넘기 부드럽 것
311_0,친근하고,친근
311_1,깔끔하다,깔끔
311_2,무난하다,무난
312_0,레몬이 들어있어서 다른 맥주보다,레몬 맥주
312_1,더 맛있다,맛있
313,맛이 깔끔하다,맛 깔끔
314,카스에비해 맛있음,카스 비하 맛있
315_0,순하고,순하
315_1,칼로리가 적게 나가서,칼로리 나가
316_0,목넘김이 부드럽고,목 넘기 부드럽
316_1,보리향이 진해서 좋아합니다,보리 향 진하 좋아하
317,맛이 가장 좋음,맛
318,병맥주를 즐겨 마시는 편인데 카프리가 싼편이며 병따기가 간편하고돌려서 내가 생각하는 맥주맛과 같아서,병 맥주 즐기 마시 편 카프리 편 병 간편 돌리 내 생각 맥주 맛
319_0,마셨을때 시원하고,마시 때 시원
319_1,목넘김이 부드러움,목 넘기 부드럽
320,맛있어서 좋아함KGB 레몬을 좋아합니다,맛있 함 레몬 좋아하
321,부드러운 거품과 보리의 깊은맛때문에,부드럽 거품 보리 맛 때문
322,맛있음 여러가지 맛이있어서 음료처럼 즐길수있다,맛있 가지 맛 음료 즐기 수
323,한국맛,한국 맛
324,깔끔한 맛,깔끔 맛
325,자주 마시는 흑맥주,마시 흑 맥주
326_0,일단 맛이 깊고,맛
326_1,좀더 씁쓸한 느낌이 좋다,씁쓸 느낌
326_2,항상 가는 술집에 술잔이 카스 맥주잔이고,술집 술잔 카스 맥주잔
326_3,친구들도 다,친구
326_4,카스 맥주를 많이 먹는다,카스 맥주
326_5,제일 맛있는것같다,제일 맛있 것
327_0,무엇보다,무엇
327_1,맛이 진하고,맛 진하
327_2,마실때마다,마실 때
328,느낌이 좋다,느낌
329,우리나라대표상표라고생각합니다,우리나라 대표 상표 생각
330_0,보드카와 레몬으로 상큼하고,보드카 레몬 상큼
330_1,깔끔한 맛에 많이 찾는다,깔끔 맛
331,입맛에 맞아서 가장많이 마셔왔던 상표이기때문이다,입맛 마시 상표 때문
332,탄산이 많지 않다,탄산
333,친구들이 자주 권해서,친구 권하
334_0,흑맥주를 좋아하는데요 스타우트의 흑맥주가 부드럽고,흑 맥주 좋아하 스타우트 흑 맥주 부드럽
334_1,맛있어서 좋아합니다,맛있 좋아하
335_0,맛이 쓰지 않고,맛
335_1,괜찮고,괜찮
335_2,가격이 적당하다고,가격 적당
335_3,생각됩니다,생각
336_0,탄산이 부드럽고,탄산 부드럽
336_1,쓴맛이 덜함 맛이 깔끔함,쓴맛 덜하 맛 깔끔
337_0,맛이 구수하고,맛 구수
337_1,국산 맥주이기때문에 값이 비교적 싸다,국산 맥주 때문 값 비교
338_0,국산맥주에서 느낄수 없는 특유의 맥주향이 느껴져서 좋다,국산 맥주 느끼 수 특유 맥주 향 느끼
338_1,국산 맥주는 끝맛이 약간 밍밍한데 호가든은 특유의 씁슬한 향이 코로 올라올때 굉장히 고소해서 매력이 있다,국산 맥주 끝 맛 호가든 특유 향 코 올라오 때 고소 매력
339,달콤함을가진 음료같으면서도 알콜을가지고있는 묘미,달콤 가지 음료 알콜 가지 묘미
340,레몬향이 나면서도 맥주맛이 나서 좋다,레몬 향 맥주 맛 나서
341,시원하다,시원
342,맥주의 맛 특히 거품이 정말 맛있습니다,맥주 맛 거품 맛있
343_0,색감이 좋고,색감
